Table Name,Column Name,Data Type,Is Nullable,Key (PRI/MUL),Extra,Notes/Comment
asset,branchid,varchar(3),YES,,,
asset,branchname,varchar(20),YES,,,
asset,companyid,varchar(3),YES,,,
asset,devicehh,varchar(12),YES,,,
asset,imei1,"decimal(16,0)",YES,,,
asset,imei2,"decimal(16,0)",YES,,,
asset,typehh,varchar(20),YES,,,
asset,employeeid,varchar(10),YES,,,
asset,segmen,varchar(20),YES,,,
asset,qtyhh,"decimal(3,0)",YES,,,
asset,conditionhh,varchar(20),YES,,,
asset,statushh,varchar(20),YES,,,
asset,devicethermal,varchar(20),YES,,,
asset,typethermal,varchar(20),YES,,,
asset,qtythermal,"decimal(3,0)",YES,,,
asset,conditionthermal,varchar(20),YES,,,
asset,statusthermal,varchar(20),YES,,,
asset,keterangan_hh,varchar(100),YES,,,
asset,keterangan_thermal,varchar(100),YES,,,
cash_image_ritase,id,int(11),NO,PRI,auto_increment,
cash_image_ritase,szdoc,varchar(50),NO,MUL,,
cash_image_ritase,szcompany,varchar(10),NO,,,
cash_image_ritase,sztanggal,date,NO,,,
cash_image_ritase,szbtbbiaya,varchar(50),NO,,,
cash_image_ritase,szbtbgudang,varchar(50),NO,,,
cash_image_ritase,szpath,varchar(500),NO,,,
cash_image_ritase,szuserupdated,varchar(100),NO,,,
cash_image_ritase,dtmupdated,datetime,NO,,on update CURRENT_TIMESTAMP,
cash_ritase,szbranchid,varchar(5),NO,,,
cash_ritase,szbranchname,varchar(50),NO,,,
cash_ritase,szsupplierid,varchar(20),NO,,,
cash_ritase,szsuppliername,varchar(50),NO,,,
cash_ritase,szproductid,varchar(10),NO,,,
cash_ritase,szProductname,varchar(50),NO,,,
cash_ritase,decqty,"decimal(10,0)",NO,,,
cash_ritase,decAmount,"decimal(10,0)",NO,,,
cash_ritase,dtmstarted,date,NO,,,
cash_ritase,dtmfinished,date,NO,,,
cash_ritase,description,varchar(50),NO,,,
cash_ritase,tol,varchar(10),NO,,,
cash_ritase,szcategory,varchar(20),YES,,,
cash_ritase,szpic,varchar(20),YES,,,
